source_repo,source_branch,source_tree_sha,source_path,source_blob_sha,source_size,target_repo,target_path,migration_action,status
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/GlobalNav.astro","03cd7720c3e2e69033e3e1c9fba85caf08784b79","1649","Sas-Executar/next-forge","apps/blog/src/components/editorial/GlobalNav.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Hero.astro","18ca019fcb9a86af45e3524c950dc4adf0127e61","682","Sas-Executar/next-forge","apps/blog/src/components/editorial/Hero.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/PromoGrid.astro","a4da6e87e0befd532107bafa3662346cd015a743","1505","Sas-Executar/next-forge","apps/blog/src/components/editorial/PromoGrid.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/components/editorial/Selection.astro","cdb274f7adbbda37bcc2a76f950d8e0f8d24fbbd","1102","Sas-Executar/next-forge","apps/blog/src/components/editorial/Selection.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/env.d.ts","1a9c6599098d6e809385774ea04bed7fb66cf240","156","Sas-Executar/next-forge","apps/blog/src/env.d.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/layouts/BaseLayout.astro","fbca72c85252f467fe446cb423beb224b6c157b9","6052","Sas-Executar/next-forge","apps/blog/src/layouts/BaseLayout.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/lib/payload-client.ts","7afb0656bc13c14be0b7f4bbf431acf936984c14","4187","Sas-Executar/next-forge","apps/blog/src/lib/payload-client.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/pages/blog/[slug].astro","ba8dbb6aa6eea00fd611e8a40a0e26e491da8643","1085","Sas-Executar/next-forge","apps/blog/src/pages/blog/[slug].astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/pages/blog/index.astro","6d20110c09e8b17a7bc9a7fd2c004708dc84414c","2120","Sas-Executar/next-forge","apps/blog/src/pages/blog/index.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/pages/index.astro","b2066ed23e167b1a8922a3490125b062e58f8ffb","39","Sas-Executar/next-forge","apps/blog/src/pages/index.astro","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/styles/editorial-components.css","1bccf7eaf19c81f64c342b2ba84743e579054094","15132","Sas-Executar/next-forge","apps/blog/src/styles/editorial-components.css","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/styles/editorial-tokens.css","80662d5401616d3a9a6c15deac96965be3c1a7bb","2613","Sas-Executar/next-forge","apps/blog/src/styles/editorial-tokens.css","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/src/styles/global.css","20cf3643da2cf912620973ed9c16e638a2415801","746","Sas-Executar/next-forge","apps/blog/src/styles/global.css","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","apps/blog/tsconfig.json","b7243b92ccf834214fe06241adfe1b0c726be571","125","Sas-Executar/next-forge","apps/blog/tsconfig.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/README.md","1e85c970bd80120321b0733b9d822f295632c583","2472","Sas-Executar/next-forge","packages/callout-protocol/README.md","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/package.json","04fad63c435eb6a0d79a7a39a90de51d4907d116","759","Sas-Executar/next-forge","packages/callout-protocol/package.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/src/index.ts","9fb7d39fd1014654bb76c5b52dfb043082374c79","336","Sas-Executar/next-forge","packages/callout-protocol/src/index.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/src/registry.test.ts","52ba9cb5e2c362028e7cebe64dfe99b9bedf18a6","5336","Sas-Executar/next-forge","packages/callout-protocol/src/registry.test.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/src/registry.ts","22f29d98e9b676d81105c6c689559c45e965d9c4","8057","Sas-Executar/next-forge","packages/callout-protocol/src/registry.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/src/schema.ts","0c5d99418740601a7fc2af8e20d524b925c04610","2458","Sas-Executar/next-forge","packages/callout-protocol/src/schema.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/callout-protocol/tsconfig.json","bbdc3ddfe19085dca3008824d1167739bd684ef6","196","Sas-Executar/next-forge","packages/callout-protocol/tsconfig.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/design-tokens/README.md","599f640ae378e0f843b9324c5698dda860def78a","7551","Sas-Executar/next-forge","packages/design-tokens/README.md","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/design-tokens/package.json","c8ea076637735a1c074494d90cfa7db56ef63b38","1326","Sas-Executar/next-forge","packages/design-tokens/package.json","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/design-tokens/src/build.ts","0589bc63a1a3a8e34a1d9a4ec6b1b67d6a01da85","14909","Sas-Executar/next-forge","packages/design-tokens/src/build.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/design-tokens/src/contrast.test.ts","8c83039c42dbc97276591a79541db040a6435e2c","5282","Sas-Executar/next-forge","packages/design-tokens/src/contrast.test.ts","REFERENCE","RECONCILIATION_REQUIRED"
"Sas-Executar/Desyng-System-ecossitema.","claude/design-handoff-specs-ulc1r1","3784189e789a5b16fc2bdaaa6854a4bdc1bcad77","packages/design-tokens/src/contrast.ts","cbeae3ae2dc9d94b32b1f83cefa1a4ebaccaf604","1317","Sas-Executar/next-forge","packages/design-tokens/src/contrast.ts","REFERENCE","RECONCILIATION_REQUIRED"
